timestamp,zone,latitude,longitude,solar_irradiance_wh_m2
2024010100,Dhaka,23.8103,90.4125,0.0
2024010101,Dhaka,23.8103,90.4125,0.0
2024010102,Dhaka,23.8103,90.4125,0.0
2024010103,Dhaka,23.8103,90.4125,0.0
2024010104,Dhaka,23.8103,90.4125,0.0
2024010105,Dhaka,23.8103,90.4125,0.0
2024010106,Dhaka,23.8103,90.4125,0.0
2024010107,Dhaka,23.8103,90.4125,59.4
2024010108,Dhaka,23.8103,90.4125,150.2
2024010109,Dhaka,23.8103,90.4125,250.25
2024010110,Dhaka,23.8103,90.4125,366.1
2024010111,Dhaka,23.8103,90.4125,459.67
2024010112,Dhaka,23.8103,90.4125,494.27
2024010113,Dhaka,23.8103,90.4125,522.3
2024010114,Dhaka,23.8103,90.4125,382.1
2024010115,Dhaka,23.8103,90.4125,227.77
2024010116,Dhaka,23.8103,90.4125,83.03
2024010117,Dhaka,23.8103,90.4125,3.0
2024010118,Dhaka,23.8103,90.4125,0.0
2024010119,Dhaka,23.8103,90.4125,0.0
2024010120,Dhaka,23.8103,90.4125,0.0
2024010121,Dhaka,23.8103,90.4125,0.0
2024010122,Dhaka,23.8103,90.4125,0.0
2024010123,Dhaka,23.8103,90.4125,0.0
2024010200,Dhaka,23.8103,90.4125,0.0
2024010201,Dhaka,23.8103,90.4125,0.0
2024010202,Dhaka,23.8103,90.4125,0.0
2024010203,Dhaka,23.8103,90.4125,0.0
2024010204,Dhaka,23.8103,90.4125,0.0
2024010205,Dhaka,23.8103,90.4125,0.0
2024010206,Dhaka,23.8103,90.4125,0.0
2024010207,Dhaka,23.8103,90.4125,70.88
2024010208,Dhaka,23.8103,90.4125,190.98
2024010209,Dhaka,23.8103,90.4125,328.15
2024010210,Dhaka,23.8103,90.4125,488.3
2024010211,Dhaka,23.8103,90.4125,536.85
2024010212,Dhaka,23.8103,90.4125,555.97
2024010213,Dhaka,23.8103,90.4125,496.2
2024010214,Dhaka,23.8103,90.4125,389.12
2024010215,Dhaka,23.8103,90.4125,239.2
2024010216,Dhaka,23.8103,90.4125,85.62
2024010217,Dhaka,23.8103,90.4125,3.4
2024010218,Dhaka,23.8103,90.4125,0.0
2024010219,Dhaka,23.8103,90.4125,0.0
2024010220,Dhaka,23.8103,90.4125,0.0
2024010221,Dhaka,23.8103,90.4125,0.0
2024010222,Dhaka,23.8103,90.4125,0.0
2024010223,Dhaka,23.8103,90.4125,0.0
2024010300,Dhaka,23.8103,90.4125,0.0
2024010301,Dhaka,23.8103,90.4125,0.0
2024010302,Dhaka,23.8103,90.4125,0.0
2024010303,Dhaka,23.8103,90.4125,0.0
2024010304,Dhaka,23.8103,90.4125,0.0
2024010305,Dhaka,23.8103,90.4125,0.0
2024010306,Dhaka,23.8103,90.4125,0.0
2024010307,Dhaka,23.8103,90.4125,53.75
2024010308,Dhaka,23.8103,90.4125,125.22
2024010309,Dhaka,23.8103,90.4125,188.38
2024010310,Dhaka,23.8103,90.4125,286.23
2024010311,Dhaka,23.8103,90.4125,353.98
2024010312,Dhaka,23.8103,90.4125,405.67
2024010313,Dhaka,23.8103,90.4125,395.02
2024010314,Dhaka,23.8103,90.4125,384.45
2024010315,Dhaka,23.8103,90.4125,239.15
2024010316,Dhaka,23.8103,90.4125,89.05
2024010317,Dhaka,23.8103,90.4125,3.72
2024010318,Dhaka,23.8103,90.4125,0.0
2024010319,Dhaka,23.8103,90.4125,0.0
2024010320,Dhaka,23.8103,90.4125,0.0
2024010321,Dhaka,23.8103,90.4125,0.0
2024010322,Dhaka,23.8103,90.4125,0.0
2024010323,Dhaka,23.8103,90.4125,0.0
2024010400,Dhaka,23.8103,90.4125,0.0
2024010401,Dhaka,23.8103,90.4125,0.0
2024010402,Dhaka,23.8103,90.4125,0.0
2024010403,Dhaka,23.8103,90.4125,0.0
2024010404,Dhaka,23.8103,90.4125,0.0
2024010405,Dhaka,23.8103,90.4125,0.0
2024010406,Dhaka,23.8103,90.4125,0.0
2024010407,Dhaka,23.8103,90.4125,62.65
2024010408,Dhaka,23.8103,90.4125,190.52
2024010409,Dhaka,23.8103,90.4125,310.15
2024010410,Dhaka,23.8103,90.4125,477.4
2024010411,Dhaka,23.8103,90.4125,522.75
2024010412,Dhaka,23.8103,90.4125,564.03
2024010413,Dhaka,23.8103,90.4125,519.53
2024010414,Dhaka,23.8103,90.4125,403.17
2024010415,Dhaka,23.8103,90.4125,242.27
2024010416,Dhaka,23.8103,90.4125,85.0
2024010417,Dhaka,23.8103,90.4125,3.65
2024010418,Dhaka,23.8103,90.4125,0.0
2024010419,Dhaka,23.8103,90.4125,0.0
2024010420,Dhaka,23.8103,90.4125,0.0
2024010421,Dhaka,23.8103,90.4125,0.0
2024010422,Dhaka,23.8103,90.4125,0.0
2024010423,Dhaka,23.8103,90.4125,0.0
2024010500,Dhaka,23.8103,90.4125,0.0
2024010501,Dhaka,23.8103,90.4125,0.0
